song,artist
first class,jack harlow
as it was,harry styles
heat waves,glass animals
big energy,latto
enemy,imagine dragons x jid
stay,the kid laroi & justin bieber
super gremlin,kodak black
woman,doja cat
ghost,justin bieber
thats what i want,lil nas x
abcdefu,gayle
bad habits,ed sheeran
right on,lil baby
in a minute,lil baby
shivers,ed sheeran
cold heart (pnau remix),elton john & dua lipa
easy on me,adele
we don't talk about bruno,"carolina gaitan, mauro castillo, adassa, rhenzy feliz, diane guerrero, stephanie beatriz & encanto cast"
industry baby,lil nas x & jack harlow
need to know,doja cat
levitating,dua lipa
'til you can't,cody johnson
save your tears,the weeknd & ariana grande
one right now,post malone & the weeknd
bam bam,camila cabello featuring ed sheeran
hrs and hrs,muni long
never say never,cole swindell / lainey wilson
good 4 u,olivia rodrigo
i hate u,sza
mamiii,becky g x karol g
doin' this,luke combs
aa,walker hayes
sweetest pie,megan thee stallion & dua lipa
fingers crossed,lauren spencer-smith
pushin p,gunna & future featuring young thug
wasted on you,morgan wallen
you right,doja cat & the weeknd
fancy like,walker hayes
what happened to virgil,lil durk featuring gunna
nail tech,jack harlow
beers on me,"dierks bentley, breland & hardy"
to the moon!,jnr choi & sam tompkins
light switch,charlie puth
boyfriend,dove cameron
numb little bug,em beihold
drunk (and i don't wanna go home),elle king & miranda lambert
buy dirt,jordan davis featuring luke bryan
sand in my boots,morgan wallen
the motto,tiesto & ava max
she's all i wanna be,tate mcrae
slow down summer,thomas rhett
when you're gone,shawn mendes
peru,fireboy dml & ed sheeran
handsomer,russ featuring ktlyn
23,sam hunt
surface pressure,jessica darrow
circles around this town,maren morris
broadway girls,lil durk featuring morgan wallen
no love,summer walker & sza
freaky deaky,tyga x doja cat
ahhh ha,lil durk
london,bia featuring j. cole
heart on fire,eric church
in my head,lil tjay
never wanted to be that girl,carly pearce & ashley mcbryde
me or sum,"nardo wick, lil baby & future"
flower shops,ernest featuring morgan wallen
if i was a cowboy,miranda lambert
soy el unico,yahritza y su esencia
do we have a problem?,nicki minaj x lil baby
city of gods,"fivio foreign, kanye west & alicia keys"
nobody like u,4*town (from disney and pixar's turning red)
trouble with a heartbreak,jason aldean
envolver,anitta
psychofreak,camila cabello featuring willow
give heaven some hell,hardy
rumors,gucci mane featuring lil durk
the family madrigal,"stephanie beatriz, olga merediz & encanto cast"
thump shit,42 dugg & est gee
take my name,parmalee
treat me,chloe
get into it (yuh),doja cat
to be loved by you,parker mccollum
come back as a country boy,blake shelton
complete mess,5 seconds of summer
i love you so,the walters
banking on me,gunna
thinking with my dick,kevin gates featuring juicy j
damn strait,scotty mccreery
she likes it,russell dickerson & jake scott
p power,gunna featuring drake
pressure,ari lennox
dos oruguitas,sebastian yatra
bones,imagine dragons
blick blick!,coi leray & nicki minaj
over,lucky daye
neck & wrist,pusha t featuring jay-z & pharrell williams
desesperados,rauw alejandro & chencho corleone
x ultima vez,daddy yankee & bad bunny
praise the lord,breland featuring thomas rhett
