danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.708,0.566,11,-10.142,0,0.0362,0.000127,0.0338,0.29,0.731,121.997
0.71,0.625,5,-15.3,0,0.0414,0.00418,0.935,0.109,0.183,124.876
0.716,0.783,4,-12.876,0,0.0496,0.172,0.0346,0.0327,0.952,121.306
0.742,0.756,10,-6.197,1,0.0825,0.0213,0.0227,0.0553,0.81,129.963
0.726,0.907,5,-5.009,0,0.0894,0.000916,0.000521,0.217,0.498,124.841
0.718,0.93,7,-4.532,1,0.038,0.0026,0.0176,0.0363,0.697,128.736
0.609,0.905,0,-6.792,0,0.0307,0.0104,0.0,0.409,0.878,121.434
0.797,0.752,6,-7.343,0,0.128,0.0135,0.00496,0.264,0.801,131.932
0.552,0.956,5,-6.96,0,0.047,0.00281,0.784,0.106,0.589,129.889
0.677,0.935,3,-11.55,0,0.0514,0.0787,0.376,0.0787,0.965,120.11
0.648,0.858,9,-6.58,0,0.0323,0.00128,0.556,0.0535,0.62,119.031
0.739,0.737,9,-7.527,0,0.0485,0.00934,0.0367,0.364,0.864,129.98
0.646,0.904,2,-7.058,0,0.0323,0.044,0.0105,0.0889,0.623,120.005
0.686,0.634,2,-10.287,0,0.056,0.192,0.858,0.152,0.0783,119.933
0.726,0.72,0,-12.68,1,0.0448,0.00101,0.032,0.352,0.659,121.953
0.761,0.959,11,-7.592,1,0.096,0.00389,0.697,0.217,0.477,121.986
0.682,0.979,10,-6.496,0,0.0733,0.0649,0.882,0.14,0.277,124.188
0.865,0.714,6,-7.824,1,0.064,0.0841,0.657,0.0336,0.831,127.264
0.74,0.923,0,-6.64,1,0.0605,0.0156,0.0397,0.0684,0.811,121.959
0.733,0.719,11,-7.72,0,0.0618,0.000229,0.547,0.0894,0.753,130.029
0.726,0.919,8,-13.836,1,0.045,0.000143,0.709,0.0795,0.332,120.952
0.692,0.938,11,-6.25,0,0.0529,0.205,0.0065,0.281,0.71,118.578
0.899,0.857,0,-6.128,0,0.037,0.0499,0.0299,0.112,0.961,125.072
0.596,0.979,0,-5.831,1,0.0423,0.000391,0.781,0.259,0.693,130.025
0.739,0.826,1,-8.75,1,0.128,0.000693,0.000144,0.265,0.531,120.881
0.702,0.796,10,-6.99,1,0.0315,0.0759,0.00253,0.109,0.607,129.878
0.66,0.992,7,-5.283,1,0.0568,0.00285,0.000133,0.0592,0.81,121.459
0.711,0.72,5,-7.942,0,0.0401,0.00156,2.86e-05,0.0585,0.966,117.549
0.564,0.849,8,-8.352,1,0.0595,0.00972,0.784,0.108,0.503,128.68
0.793,0.556,1,-17.884,1,0.0502,4.6e-05,0.289,0.0592,0.412,123.022
0.403,0.925,10,-7.744,0,0.109,0.00131,0.796,0.111,0.327,190.528
0.718,0.757,2,-11.869,1,0.0327,0.00925,0.104,0.0851,0.646,123.473
0.71,0.616,0,-16.306,1,0.116,0.0344,0.225,0.0936,0.398,120.385
0.731,0.575,7,-13.088,1,0.0334,0.178,0.349,0.0693,0.295,128.819
0.762,0.898,7,-6.208,0,0.142,0.000564,5.12e-06,0.122,0.349,126.657
0.708,0.807,11,-8.195,0,0.0444,0.00182,0.000157,0.124,0.86,129.968
0.673,0.959,3,-6.802,0,0.085,0.0702,5.79e-05,0.0306,0.875,123.521
0.74,0.762,5,-7.166,0,0.0418,0.0131,0.0,0.283,0.832,127.372
0.886,0.778,1,-8.549,1,0.172,0.0317,0.0175,0.076,0.556,119.573
0.656,0.835,4,-12.399,1,0.0603,0.138,0.32,0.0718,0.47,120.496
0.803,0.743,9,-10.065,1,0.069,0.00097,0.503,0.0581,0.488,121.017
0.751,0.87,1,-8.894,0,0.0517,9.1e-06,0.911,0.0681,0.647,124.697
0.849,0.448,10,-15.46,0,0.195,0.0265,0.888,0.0808,0.702,124.035
0.634,0.893,11,-7.432,1,0.0403,0.0619,0.00142,0.161,0.667,124.621
0.7,0.849,11,-6.561,0,0.129,0.00601,0.0193,0.284,0.449,130.988
0.68,0.497,9,-12.626,0,0.052,0.0967,0.901,0.078,0.67,114.811
0.711,0.604,5,-8.675,0,0.0532,0.000882,0.818,0.0859,0.526,127.001
0.704,0.722,2,-10.815,0,0.0446,0.0287,0.00341,0.297,0.859,129.992
0.619,0.862,6,-12.457,1,0.077,0.0258,0.838,0.158,0.761,127.049
0.785,0.855,11,-7.425,0,0.0678,0.00842,0.00222,0.148,0.805,123.664
0.76,0.906,2,-6.739,0,0.0563,0.0029,0.925,0.0841,0.444,125.988
