,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
0,0.708,0.566,11,-10.142,0,0.0362,0.000127,0.0338,0.29,0.731,121.997,3
1,0.71,0.625,5,-15.3,0,0.0414,0.00418,0.935,0.109,0.183,124.876,2
2,0.716,0.783,4,-12.876,0,0.0496,0.172,0.0346,0.0327,0.952,121.306,3
3,0.742,0.756,10,-6.197,1,0.0825,0.0213,0.0227,0.0553,0.81,129.963,4
4,0.726,0.907,5,-5.009,0,0.0894,0.000916,0.000521,0.217,0.498,124.841,3
5,0.718,0.93,7,-4.532,1,0.038,0.0026,0.0176,0.0363,0.697,128.736,4
6,0.609,0.905,0,-6.792,0,0.0307,0.0104,0.0,0.409,0.878,121.434,6
7,0.797,0.752,6,-7.343,0,0.128,0.0135,0.00496,0.264,0.801,131.932,3
8,0.552,0.956,5,-6.96,0,0.047,0.00281,0.784,0.106,0.589,129.889,2
9,0.677,0.935,3,-11.55,0,0.0514,0.0787,0.376,0.0787,0.965,120.11,3
10,0.648,0.858,9,-6.58,0,0.0323,0.00128,0.556,0.0535,0.62,119.031,3
11,0.739,0.737,9,-7.527,0,0.0485,0.00934,0.0367,0.364,0.864,129.98,3
12,0.646,0.904,2,-7.058,0,0.0323,0.044,0.0105,0.0889,0.623,120.005,3
13,0.686,0.634,2,-10.287,0,0.056,0.192,0.858,0.152,0.0783,119.933,2
14,0.726,0.72,0,-12.68,1,0.0448,0.00101,0.032,0.352,0.659,121.953,4
15,0.761,0.959,11,-7.592,1,0.096,0.00389,0.697,0.217,0.477,121.986,2
16,0.682,0.979,10,-6.496,0,0.0733,0.0649,0.882,0.14,0.277,124.188,2
17,0.865,0.714,6,-7.824,1,0.064,0.0841,0.657,0.0336,0.831,127.264,2
18,0.74,0.923,0,-6.64,1,0.0605,0.0156,0.0397,0.0684,0.811,121.959,4
19,0.733,0.719,11,-7.72,0,0.0618,0.000229,0.547,0.0894,0.753,130.029,3
20,0.726,0.919,8,-13.836,1,0.045,0.000143,0.709,0.0795,0.332,120.952,2
21,0.692,0.938,11,-6.25,0,0.0529,0.205,0.0065,0.281,0.71,118.578,3
22,0.899,0.857,0,-6.128,0,0.037,0.0499,0.0299,0.112,0.961,125.072,3
23,0.596,0.979,0,-5.831,1,0.0423,0.000391,0.781,0.259,0.693,130.025,2
24,0.739,0.826,1,-8.75,1,0.128,0.000693,0.000144,0.265,0.531,120.881,4
25,0.702,0.796,10,-6.99,1,0.0315,0.0759,0.00253,0.109,0.607,129.878,4
26,0.66,0.992,7,-5.283,1,0.0568,0.00285,0.000133,0.0592,0.81,121.459,4
27,0.711,0.72,5,-7.942,0,0.0401,0.00156,2.86e-05,0.0585,0.966,117.549,3
28,0.564,0.849,8,-8.352,1,0.0595,0.00972,0.784,0.108,0.503,128.68,2
29,0.793,0.556,1,-17.884,1,0.0502,4.6e-05,0.289,0.0592,0.412,123.022,4
30,0.403,0.925,10,-7.744,0,0.109,0.00131,0.796,0.111,0.327,190.528,2
31,0.718,0.757,2,-11.869,1,0.0327,0.00925,0.104,0.0851,0.646,123.473,4
32,0.71,0.616,0,-16.306,1,0.116,0.0344,0.225,0.0936,0.398,120.385,4
33,0.731,0.575,7,-13.088,1,0.0334,0.178,0.349,0.0693,0.295,128.819,2
34,0.762,0.898,7,-6.208,0,0.142,0.000564,5.12e-06,0.122,0.349,126.657,3
35,0.708,0.807,11,-8.195,0,0.0444,0.00182,0.000157,0.124,0.86,129.968,3
36,0.673,0.959,3,-6.802,0,0.085,0.0702,5.79e-05,0.0306,0.875,123.521,3
37,0.74,0.762,5,-7.166,0,0.0418,0.0131,0.0,0.283,0.832,127.372,3
