title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Where Love Lives (Come On In) - Classic Mix,Alison Limerick,0ilZMeXHPKDPjUc4Neu04f,0.708,0.566,11,-10.142,0,0.0362,0.000127,0.0338,0.29,0.731,121.997
Passion - Naked Edit,Gat Decor,0ZBPWoRkfZ8SLcDJaFnkUu,0.71,0.625,5,-15.3,0,0.0414,0.00418,0.935,0.109,0.183,124.876
Good Life,Inner City,5sJiLlgQKBL81QCTOkoLB5,0.716,0.783,4,-12.876,0,0.0496,0.172,0.0346,0.0327,0.952,121.306
U Don't Know Me (feat. Duane Harden),Armand Van Helden,0TN9m8rp3ZuNi4JwCKSans,0.742,0.756,10,-6.197,1,0.0825,0.0213,0.0227,0.0553,0.81,129.963
Free - Mood II Swing Remix,Sebastian Gamboa,2FrCwt008k0xqtCFH1VaTZ,0.726,0.907,5,-5.009,0,0.0894,0.000916,0.000521,0.217,0.498,124.841
Promised Land,Joe Smooth,796T2ROxTNibXRjVhjSzCa,0.718,0.93,7,-4.532,1,0.038,0.0026,0.0176,0.0363,0.697,128.736
Two Can Play That Game - Radio Edit,Bobby Brown,1gsnWXeNlbfoHpaGRi4oQ0,0.609,0.905,0,-6.792,0,0.0307,0.0104,0.0,0.409,0.878,121.434
Turn Around - Radio Edit,Phats & Small,2nx86MrPkXWQctveAEFJBf,0.797,0.752,6,-7.343,0,0.128,0.0135,0.00496,0.264,0.801,131.932
Samba Magic,Basement Jaxx,6aUT32RDhTo409qBTzdbvg,0.552,0.956,5,-6.96,0,0.047,0.00281,0.784,0.106,0.589,129.889
Big Fun,Inner City,4PyhlL1vrSvPlhYLdphszr,0.677,0.935,3,-11.55,0,0.0514,0.0787,0.376,0.0787,0.965,120.11
Ride on Time,Black Box,3pgainA2dH9c7e8JVYGRCN,0.648,0.858,9,-6.58,0,0.0323,0.00128,0.556,0.0535,0.62,119.031
Don't Stop Movin',Livin' Joy,2P3cEaLNB0qczz4BDB7Mxc,0.739,0.737,9,-7.527,0,0.0485,0.00934,0.0367,0.364,0.864,129.98
Gypsy Woman (She's Homeless) - Radio Edit,Crystal Waters,4PxoDlPrwGtmWqFA4pm57U,0.646,0.904,2,-7.058,0,0.0323,0.044,0.0105,0.0889,0.623,120.005
I Can't Kick This Feeling When It Hits,Moodymann,2PmT3D5xmvVzZCf11L2ifX,0.686,0.634,2,-10.287,0,0.056,0.192,0.858,0.152,0.0783,119.933
Move Your Body,Xpansions,1VLEbclmTbYS9Rdp1b90Yf,0.726,0.72,0,-12.68,1,0.0448,0.00101,0.032,0.352,0.659,121.953
Hideaway - Deep Dish Radio Edit,De'Lacy,2bpmisazTQ49QpLMGZGp1X,0.761,0.959,11,-7.592,1,0.096,0.00389,0.697,0.217,0.477,121.986
Pacific State,808 State,2h7w0KHwHbx4WbG6WxjO7U,0.682,0.979,10,-6.496,0,0.0733,0.0649,0.882,0.14,0.277,124.188
